Code;Year;CI;HP;Equipment;Automobile
CH;59;283;250;FI,MT;PA
CH;64;283;195;2B,3S;NO
CHA;73;307;115;2B,TH;CH
CHA;75;350;165;4B,4S;CO
CHA;77;350;170;4B,TH350;CH,MC,NO
CHA;80;350;190;4B,TH350;CA
CHA;88;305;220;AT,TPI;CA,FB
CHB;73;307;115;2B,MT;CA,CH,NO
CHB;75;350;165;4B,TH400;CO
CHB;77;350;170;4B,TH350;CH,MC,NO
CHB;80;350;190;4B,TH350;PA
CHB;88;305;220;AT,TPI;CA,FB
CHC;73;307;115;2B,CE,TH;CH,NO
CHC;75;350;205;4B,4S;CO
CHC;76;350;210;4B,4S;CO
CHC;78;350;170;4B,TH350;CA
CHC;88;305;220;AT,TPI;CA
CHD;73;307;115;2B,CE,TH;NO
CHD;77;350;180;4B,CE,TH350;CO
CHF;78;350;170;4B,TH350;CA
CHH;73;307;115;2B,TH;CA,NO
CHH;78;350;170;4B,TH350;PA
CHJ;73;307;115;2B,CE,MT;CA
CHJ;78;350;170;4B,TH350;PA
CHK;73;307;115;2B,CE,TH;CA
CHK;78;350;170;4B,TH350;PA
CHL;78;350;170;4B,TH350;CA,NO,PA
CHM;78;350;170;4B,TH350;PA
CHP;88;305;220;AT,TPI;CA,FB
CHR;75;350;205;4B,CE,TH400;CO
CHR;78;350;170;4B,TH350;CA
CHS;75;400;175;4B;CH,MC
CHS;76;350;165;4B,TH350;PA
CHS;78;350;170;4B,TH350;PA
CHT;76;350;165;4B,TH350;PA
CHT;78;350;170;4B,TH350;CA
CHU;75;350;165;4B,4S;CO
CHU;76;350;165;4B,4S;CA,NO
CHU;78;350;170;4B,TH350;CA
CHW;75;350;155;4B,4S;CA
CHW;76;350;165;4B,TH350;NO
CHW;78;350;185;4B,4S;CO
CHX;77;350;170;4B,TH350;CH,MC,NO
CHY;75;350;145;4B;MO
CHY;77;350;170;4B,TH350;PA
CHY;78;350;170;4B,TH350;PA
CHZ;75;350;165;4B,CE,TH400;CO
CHZ;77;350;170;4B,TH350;CA
CJ;58;283;290;FI,HLC,MT;PA
CJ;59;283;290;FI,HLC,MT;PA
CJ;64;283;195;2B,3S,AC;NO
CJA;70;402;325;4B,MT;CH,EC
CJA;88;350;180;4B,AT;CA
CJB;71;350;270;4B,MT,PO;PA
CJB;88;350;170;AT,TBI;CA,FB
CJC;70;402;350;4B,MT;CH,EC
CJC;88;350;170;AT,TBI;CA,FB
CJD;70;402;375;4B,4S;CH,EC
CJD;71;350;270;4B,TH350;CA,CH,EC,NO
CJE;70;402;350;4B,TH;CH,EC
CJF;70;402;350;4B,MT;CA
CJG;71;350;270;4B,MT;CA,NO
CJH;70;402;375;4B,MT;CA
CJH;71;350;270;4B,MT,PO;PA
CJI;70;402;350;4B,TH400;CA
CJJ;71;350;270;4B,MT;CH,EC,MC
CJK;70;402;325;4B,TH;CH,EC
CJK;71;350;270;4B,TH400;CO
CJL;70;402;375;4B,TH400;CA
CJL;71;350;270;4B,4S;CO
CKA;72;350;165;2B,MT;CA,CH,EC,NO
CKA;73;350;145;2B,MT;CA,CH,NO
CKA;77;350;170;4B,TH350;PA
CKA;85;305;165;4B,AT;CA,CH
CKA;85;305;150;4B,AT;MA,MC,PA
CKA;88;305;150;4B,AT;CH,PA
CKB;72;350;165;2B,TH;MC,PA
CKB;73;350;175;4B,4S;CA,CH,MC,NO
CKB;74;350;185;4B,4S;CA,NO
CKB;77;350;170;4B,TH350;MC,PA
CKB;88;305;150;4B,AT;PA
CKC;73;350;145;2B,CE,MT;CH,NO
CKC;75;350;205;4B,TH400;CO
CKC;76;350;210;4B,TH400;CO
CKC;77;350;170;4B,TH350;PA
CKC;88;305;150;4B,AT;PA
CKD;72;350;175;4B,TH;CA,CH,EC,MC,NO
CKD;73;350;175;4B,CE,TH;CA,CH,NO,PA
CKD;74;350;160;4B,CE,TH;CA,CH,NO,PA
CKD;77;350;180;4B,HA,TH350;CO
CKF;70;402;375;4B,TH;CH,EC
CKF;88;305;150;4B,AT;CH,PA
CKF;91;305;205;TBI,TH350;FB,MC
CKG;70;402;375;4B,4S,AH;CH,EC
CKG;72;307;130;2B,MT;CA,CH,NO
CKH;70;402;375;4B,AH,TH;CH,EC
CKH;72;307;130;2B,PG;CA,CH,NO
CKH;73;350;175;4B,4S,CE;CA,CH,NO
CKH;74;350;160;4B,CE,MT;CA,CH,NO
CKH;77;350;170;4B,TH350;CH,MC,NO,PA
CKH;87;305;165;4B,AT;CH,GP
CKH;87;305;150;4B,AT;PA
CKJ;73;350;175;4B,TH;CH,PA
CKJ;76;350;170;4B;NO
CKJ;77;350;170;4B,TH350;CH,EC,MC
CKK;72;350;175;4B,MT;CA,CH,EC,MC,NO
CKK;73;350;145;2B,CE,TH;CH,MC,NO,PA
CKK;76;350;165;4B,TH350;NO
CKK;77;350;170;4B,TH350;CH,EC,MC
CKL;73;350;145;2B,TH;CH,EC,MC,PA
CKL;75;262;110;2B;CH,MC,NO
CKM;77;350;170;4B,TH350;CA,CH,MC,NO
CKN;70;402;325;4B,TH400;CH,EC,NO
CKO;70;402;375;4B,MT;CA,CH,EC,NO
CKP;72;400;170;2B,TH;PA
CKQ;70;402;375;4B,HDC,MT;CH,EC,NO
CKR;70;402;330;4B,MT;CH,EC,MC,NO
CKR;73;350;175;4B,CE,TH;PA
CKR;77;350;170;4B,TH350;CA,CH,MC,NO
CKS;70;402;330;4B,HDC,MT;CH,EC,MC,NO
CKS;72;350;255;4B,MT,Z28;CA
CKS;73;350;145;2B,TH;PA
CKS;77;350;170;4B,TH350;CA,NO
CKT;70;402;375;4B,AH,MT;CH,EC,NO
CKT;72;350;255;4B,TH400,Z28;CA
CKU;70;402;375;4B,AH,HDC,MT;CH,EC,NO
CKU;73;350;175;4B,TH;CA,NO
CKU;74;350;185;4B,TH;CA,NO
CKU;76;350;165;4B,TH350;PA
CKW;72;350;200;4B,4S;CO
CKW;73;350;145;2B,TH;CA,NO
CKW;76;350;180;4B,4S;CO
CKX;72;350;200;4B,TH400;CO
CKX;73;350;145;2B,CE,TH;CA
CKX;76;350;180;4B,TH350;CO
CKY;72;350;255;4B,4S;CO
CKY;73;350;145;2B,4S,CE;CA
CKY;76;350;165;4B,TH350;NO
CKZ;72;350;255;4B,4S(HD),ZR1;CO
CKZ;73;350;190;4B,4S;CO
CKZ;74;350;195;4B,4S;CO
CKZ;77;350;180;4B,4S;CO
CL;60;283;170;2B,AC,MT;PA
CL;61;283;170;2B,AC,MT;PA
CL;62;283;170;2B,AC,MT;PA
CL;63;283;195;2B,AC,MT;PA
CLA;71;402;300;4B,MT;CH,EC
CLA;72;402;240;4B,MT;CA,CH,EC
CLA;73;350;190;4B,TH400;CO
CLA;74;350;195;4B,TH400;CO
CLA;77;350;180;4B,TH350;CO
CLA;88;305;200;4B,AT,SS;MC
CLA;91;305;170;AT,TBI;PA
CLB;71;402;300;4B,TH400;CH,EC,MC
CLB;72;402;240;4B,TH400;CA,CH,EC
CLB;72;402;210;4B,TH400;PA
CLB;73;350;190;4B,4S,CE;CO
CLB;74;350;195;4B,4S,CE;CO
CLB;77;350;180;4B,HA,TH350;CO
CLB;88;305;200;4B,AT,SS;MC
CLB;91;305;170;AT,TBI;PA
CLC;71;402;300;4B,MT;CA
CLC;73;350;190;4B,CE,TH400;CO
CLC;74;350;195;4B,CE,TH400;CO
CLC;77;350;180;4B,CE;CO
CLC;91;305;170;AT,TBI;CA,FB
CLD;71;402;300;4B,TH400;CA
CLD;73;350;250;4B,TH400;CO
CLD;74;350;250;4B,TH400;CO
CLD;77;350;210;4B,4S;CO
CLD;91;305;170;AT,TBI;CA,FB
CLF;76;350;145;2B,TH350;CH,MC,PA
CLF;77;350;210;4B,TH400;CO
CLF;91;305;230;AT,TBI;CA,FB
CLH;73;350;250;4B,CE,TH400;CO
CLH;74;350;250;4B,CE,TH400;CO
CLH;76;350;165;4B,TH350;PA
CLH;87;305;180;4B,AT,SS;MC
CLH;91;305;230;AT,TPI;CA,FB
CLJ;73;350;245;4B,4S,Z28;CA
CLJ;74;350;245;4B,4S,Z28;CA
CLJ;87;305;180;4B,AT,SS;MC
CLJ;91;305;230;AT,TPI;CA,FB
CLK;70;305;170;AT,TBI;PA
CLK;71;400;265;4B,TH350;PA
CLK;73;400;255;2B,TH350;CH,EC,PA
CLK;74;350;245;4B,TH400,Z28;CA
CLK;77;350;185;4B,TH;CA
CLK;78;350;170;4B,TH350;PA
CLK;91;350;170;4B,AT;PA
CLL;71;402;300;4B,4S;CH,EC,MC
CLL;73;350;245;4B,CE,TH400,Z28;CA
CLL;77;350;170;4B,TH350;PA
CLL;90;305;170;AT,TBI;PA
CLM;73;350;245;4B,CE,MT,Z28;CA
CLM;78;350;185;4B,TH350;CO
CLM;90;305;170;AT,TBI;PA
CLN;91;305;170;AT,TBI;PA
CLP;71;402;300;4B,TH350;CH,EC,MC,PA
CLP;91;305;170;AT,TBI;BU,OL,PA
CLR;71;402;300;4B,MT,PO;CH,EC,MC,PA
CLR;72;402;210;4B,MT,PO;PA
CLR;73;350;250;4B,4S;CO
CLR;74;350;250;4B,4S;CO
CLR;78;350;185;4B,CE;CO
CLS;71;402;300;4B,MT;CH,EC,MC
CLS;72;402;240;4B,MT;CH,EC,MC
CLS;73;350;250;4B,4S,CE;CO
CLS;74;350;250;4B,4S,CE;CO
CLS;76;350;180;4B,CE,TH350;CO
CLS;78;350;185;4B,HA,TH350;CO
CLS;91;305;170;AT,TBI;PA
CLT;73;350;145;2B,CE,TH;PA
CLT;77;350;170;4B,TH350;PA
CLT;78;350;170;4B,TH350;PA
CLT;91;305;170;AT,TBI;BU,OL,PA
CLU;73;350;145;2B,TH;PA
CLU;77;350;170;4B,TH350;CA
CLU;91;305;170;AT,TBI;CD
CLW;73;350;145;2B,CE,TH;PA
CLW;91;305;230;AT,TPI;CA,FB
CLX;73;350;145;2B,TH;PA
CLX;77;350;170;4B,TH350;CA
CM;60;283;230;4B,AC,MT;PA
CM;61;283;230;4B,AC,MT;PA
CMA;72;307;130;2B,CE,TH;CA,CH,EC,NO
CMA;74;350;145;2B,TH;CA,NO,PA
CMA;78;350;170;4B,TH350;MA
CMA;91;350;185;AT,TBI;PA
CMB;72;350;165;2B,AIR,TH350;CA
CMB;75;350;155;4B,AC,MT;CA
CMB;76;350;165;4B;NO
CMB;78;350;170;4B,TH350;MA
CMB;91;350;245;AT,TPI;CA,FB
CMC;74;350;145;2B,3S;CA,CH,MC,NO
CMC;78;350;170;4B,TH350;MA
CMC;80;305;155;4B,TH350;MA,MC
CMD;72;350;165;2B,CE,TH;CH,EC,MC,NO
CMD;74;350;2B,PO,TH,TX;PA
CMD;78;350;170;4B,TH350;MA
CMD;80;305;155;4B,TH350;MA,MC
CMF;75;350;155;4B,4S,CE;MC
CMF;77;350;170;4B,TH350;CH,MC
CMF;80;305;155;4B,TH350;MA,MC
CMH;72;350;165;2B,CE,MT;CA
CMH;74;350;160;4B,TH;PA
CMH;75;350;155;4B,TH350;CH,MC
CMH;76;350;165;4B,TH350;CH,MC
CMH;80;305;155;4B,AT;PA
CMJ;74;350;160;4B,PO,TH;PA
CMJ;75;350;145;2B,AIR,TH350;CH,MC,PA
CMJ;76;350;145;2B,AIR,TH350;CH,MC,PA
CMJ;80;305;155;4B,TH350;PA
CMJ;91;350;185;AT,TBI;CD
CMK;74;350;160;4B,CE,PO,TH,TX;PA
CMK;91;350;185;AT,TBI;CD
CML;75;350;155;4B,TH350;CA
CML;76;350;165;4B,TH350;CA,NO
CML;80;305;155;4B,TH350;CA
CMN;75;350;155;4B,TH350;CH,MC
CMN;76;350;165;4B,TH350;CH,MC,PA
CMN;77;350;170;4B,TH350;PA
CMN;80;305;155;4B,TH350;MA,MC
CMP;91;350;245;AT,TPI;CA,FB
CMR;74;350;145;2B,TH;CH
CMR;78;350;220;4B,4S;CO
CMR;80;305;155;4B,TH350;PA
CMS;74;350;185;4B,4S;CA
CMS;78;350;220;4B,TH400;CO
CMS;80;305;155;4B,AT;PA
CMT;74;350;245;4B,TH,Z28;CA
CMT;78;350;170;4B,TH350;PA
CMT;80;305;155;4B,TH350;PA
CMU;75;350;145;2B,MT;CA,NO
CMX;75;350;145;2B;PA
CMY;75;350;145;2B,MT;CH,MC,NO,PA
CNA;70;350;360;4B,MT,Z28;CA
CNA;82;350;170;4B,PO,TH350;PA
CNB;70;350;360;4B,TH400,Z28;CA
CNB;82;350;170;4B,PO,TH350;PA
CNC;70;307;200;2B,MT;CA,CH,EC,NO
CND;70;307;200;2B,4S;CA,CH,EC,NO
CNE;70;307;200;2B,PG;CA,CH,EC,NO
CNF;70;307;200;2B,TH350;CA,CH,EC,NO
CNF;82;350;170;4B,PO,TH350;PA
CNG;70;307;200;2B,MT;CH,EC
CNH;70;307;200;2B,PG;CH,EC
CNH;82;350;170;4B,PO,TH350;PA
CNI;70;350;250;2B,MT;CA,CH,EC,MC,NO
CNJ;70;350;300;4B,MT;CA,CH,EC,MC,NO
CNK;70;350;300;4B,PG;CA,CH,EC,MC,NO
CNM;70;350;250;2B,PG;CA,CH,EC,MC,NO
CNN;70;350;250;2B,TH350;CA,CH,EC,NO
CNO;70;350;250;2B,MT;PA
CNP;70;350;250;2B,MT,PO,TX;PA
CNQ;70;350;300;4B,MT;PA
CNQ;71;350;300;4B,MT;PA
CNR;70;350;300;4B,TH350;PA
CNS;70;350;300;4B,PG,PO;PA
CNT;70;350;300;4B,PO,TH350;PA
CNT;78;350;170;4B,TH350;PA
CNU;70;350;250;2B,PG;PA
CNV;70;350;250;2B,TH350;PA
CNW;70;350;250;2B,PG,PO,TX;PA
CNX;70;350;250;2B,PO,TH350,TX;PA
CPA;71;454;365;4B,MT;CH,EC,MC
CPA;72;454;270;4B,MT;CH,EC,MC
CPA;76;305;140;2B,TH350;CA,NO
CPA;77;305;145;2B,TH350;CA,NO
CPA;80;267;120;2B,AT;MA,MC
CPB;76;305;140;2B,TH350;CA,CH,EC,MC,NO
CPB;80;267;120;2B,TH350;MA,MC
CPC;76;305;140;2B,TH350;CA,NO
CPC;77;305;145;2B,TH350;CA,NO
CPC;80;267;120;2B,TH350;PA
CPD;71;454;365;4B,TH;CH,EC,MC,PA
CPD;72;454;270;4B,TH;CH,EC,MC,PA,SW
CPD;80;267;120;2B,TH350;CA
CPG;71;454;365;4B,MT,PO;CH,MC,PA
CPG;72;454;270;4B,PO,TH;PA
CPH;71;454;365;4B,4S;CO
CPH;72;454;270;4B,4S;CO
CPH;80;267;120;2B,AT;PA
CPJ;71;454;365;4B,TH400;CO
CPJ;72;454;270;4B,TH400;CO
CPJ;76;305;140;2B,TH350;CA,NO
CPJ;78;305;145;2B,TH350;NO
CPK;77;305;145;2B,TH350;MO
CPL;77;305;145;2B,TH350;MO
CPL;80;267;120;2B,TH350;PA
CPM;77;305;145;2B,TH350;PA
CPM;78;305;145;2B,TH350;NO
CPM;80;267;120;2B,TH350;MA,MC
CPP;71;454;425;4B,MT;CH,MC
CPR;71;454;425;4B,TH400;CH,MC
CPR;77;305;145;2B,TH350;PA
CPR;80;267;120;2B,TH350;MA,MC
CPS;71;454;425;4B,TH400;NO
CPS;77;305;145;2B,TH350;NO
CPT;71;454;425;4B,4S;NO
CPT;77;305;145;2B,TH350;NO
CPU;77;305;145;2B,TH350;MO
CPW;71;454;425;4B,4S;CO
CPX;71;454;425;4B,TH400;CO
CPX;77;305;145;2B,TH350;MO
CPY;71;454;425;4B,TH400;CH
CPY;77;305;145;2B,TH350;CA,CH,MC,NO
CPZ;71;454;425;4B,TH400;CH
CPZ;78;305;145;2B,TH350;MA,MC
CQ;58;283;230;4B,MT;CO
CQ;59;283;230;4B,MT;CO
CQ;60;283;230;4B,MT;CO
CQ;61;283;230;4B,MT;CO
CR;58;283;250;FI,MT;CO
CR;59;283;250;FI,MT;CO
CR;60;283;275;FI,MT;CO
CR;61;283;275;FI,MT;CO
CR2;75;350;CH,EC,MC
CRA;77;305;145;2B,TH350;CH,EC,MC
CRA;82;305;145;4B,TH350;CA,CH,FB,PA
CRB;77;305;145;2B,TH350;PA
CRC;75;350;NO
CRC;77;305;145;2B,TH350;MO
CRC;80;305;115;2B,TH350;CA,MA,MC
CRD;75;350;NO
CRD;77;305;145;2B,TH350;MO
CRD;80;305;115;2B,TH350;PA
CRD;72;350;165;2B,AIR,TH;CA,PA
CRE;70;350;300;4B,TH350;CA,CH,EC,MC,NO
CRF;75;350;NO
CRF;77;305;145;2B,TH350;CH,EC,MC
CRG;72;350;165;2B,TH350;CA
CRH;70;400;265;2B,TH350;CH,EC,MC
CRH;78;305;145;2B,TH350;MA,MC
CRI;70;454;390;4B,4S,TI;CO
CRJ;70;454;390;4B,TH400,TI;CO
CRJ;75;350;165;4B,4S;CO
CRK;72;350;200;4B,3S,AIR;NO
CRK;75;350;165;4B,TH400;CO
CRL;72;350;200;4B,3S,AIR;NO
CRL;75;350;205;4B,4S;CO
CRL;77;305;145;2B,TH350;BU
CRM;75;350;205;4B,TH400;CO
CRM;77;305;145;2B,TH350;BU
CRN;70;454;360;4B,MT;CH,EC,MC
CRN;72;454;270;4B,TH;CH,EC,MC
CRQ;70;454;360;4B,TH400;CH,EC,MC
CRR;70;454;450;4B,TH400;CH,EC
CRR;75;350;CA
CRS;70;454;450;4B,AH,TH400;CH,EC
CRS;72;350;255;4B,AC,AIR,TH400;CO
CRS;75;350;PA
CRT;70;454;360;4B,MT;CH,EC,MC
CRT;72;350;255;4B,4S,AIR;CO
CRT;75;350;165;4B,TH400;NO
CRT;77;305;145;2B,TH350;BU
CRU;75;350;CH,EC,NO,MC,PA
CRU;78;305;145;2B,TH350;BU
CRV;70;454;450;4B,4S;CH,EC
CRW;72;454;270;4B,AIR,TH;CH,EC,PA,SW
CRW;75;350;PA
CRW;78;305;145;2B,TH350;MA,MC
CRX;72;454;270;4B,AIR,MT;CH,EC
CRX;75;350;145;2B,TH350;CA,NO
CRX;75;350;155;4B,TH350;CH,MC,PA
CRX;78;305;145;2B,TH350;MA,MC
CRY;72;454;270;4B,AIR,PO,TH400,TX;CH,PA
CRY;75;350;PA
CRY;78;305;145;2B,TH350;MA,MC
CRZ;75;350;NO,PA
CRZ;78;305;145;2B,TH350;MA,MC
CS;58;283;290;FI,HLC,MT;CO
CS;59;283;290;FI,HLC,MT;CO
CS;60;283;315;FI,HLC,MT;CO
CS;61;283;315;FI,HLC,MT;CO
CSA;73;400;150;2B,TH;PA
CSA;76;400;175;4B,TH400;CH,MC
CSB;73;400;150;2B,TH;PA
CSB;76;400;175;4B,TH400;CH,MC
CSC;73;400;150;2B,CE,TH;PA
CSD;73;400;150;2B,CE,TH;PA
CSF;76;400;175;4B,TH400;CH,MC,PA
CSH;72;350;165;2B,PO,TH,TX;CH,EC,PA
CSH;75;400;175;4B,TH400;MC,PA
CSJ;72;350;165;2B,MT;PA
CSJ;76;400;175;4B,TH400;PA
CSK;73;400;150;2B,TH;PA
CSL;73;400;150;2B,CE,TH;PA
CSM;73;400;150;2B,CE,TH;PA
CSM;75;400;175;4B,AIR,TH400;CH
CSM;76;400;175;4B,TH400;CH
CSR;72;454;270;4B,4S,AIR;CO
CSR;75;400;175;4B,TH400;PA
CSS;72;454;270;4B,AIR,TH400;CO
CSS;75;400;175;4B,TH400;PA
CST;75;400;175;4B,TH400;PA
CSU;74;400;180;4B,CE,TH400;CH,MC
CSU;74;400;150;2B,CE,TH400;PA
CSW;74;400;150;2B,TH;PA
CSW;76;400;175;4B,TH400;CH,MC,PA
CSX;74;400;180;4B,TH;CH,MC
CSX;76;400;175;4B,TH400;CH,MC,PA
CT;58;283;245;2x4B,MT;CO
CT;59;283;245;2x4B,MT;CO
CT;60;283;245;2x4B,MT;CO
CT;61;283;245;2x4B,MT;CO
CTA;72;402;240;4B,AIR,MT,PO;CA,CH,EC
CTA;74;400;150;2B,TH;CH,PA
CTA;78;305;145;2B,TH350;MO
CTB;70;350;360;4B,MT;CA,NO
CTB;72;402;240;4B,AIR,TH;CA,CH,MC,PA
CTB;74;400;150;2B,PO,TH;PA
CTB;75;400;175;4B,TH400;CH,MC
CTB;78;305;145;2B,TH350;MO
CTC;70;350;360;4B,TH400;CA,NO
CTC;74;400;180;4B,CE,TH;CH,PA
CTC;78;305;145;2B,TH350;MO
CTD;70;350;300;4B,4S;CO
CTD;74;400;180;4B,TH;PA
CTD;78;305;145;2B,TH350;MO
CTF;78;305;145;2B,TH350;MO
CTG;70;350;300;4B,TH400;CO
CTH;70;350;350;4B,4S;CO
CTH;72;402;240;4B,3S(HD),AIR;CH,EC,MC
CTH;78;305;145;2B,TH350;CA,NO
CTJ;70;350;350;4B,AC,MT;CO
CTJ;72;402;240;4B,AIR,PO,TH400,TX;CH,MC
CTJ;72;402;240;4B,AIR,MT,PO,TX;PA
CTJ;74;400;180;4B,TH;PA
CTJ;78;305;145;2B,TH350;CA,NO
CTK;70;350;370;4B,4S,TI;CO
CTK;72;307;130;2B,TH;CA,CH,EC,NO
CTK;74;400;180;4B,CE,PO,TH;PA
CTK;78;305;145;2B,TH350;CA,NO
CTL;70;350;300;4B,4S;CO
CTL;72;350;165;2B,TH;CA,CH,EC,MC
CTL;75;400;175;4B,TH400;PA
CTL;76;400;175;4B,TH400;PA
CTL;78;305;145;2B,TH350;PA
CTM;70;350;300;4B,TH400;CO
CTM;75;400;175;4B,TH400;PA
CTM;76;400;175;4B,TH400;PA
CTN;70;350;350;4B,4S;CO
CTO;70;350;350;4B,AC,MT;CO
CTP;70;350;350;4B,TI,MT;CO
CTQ;70;350;350;4B,AC,TI,MT;CO
CTR;70;350;370;4B,4S,TI;CO
CTR;75;400;175;4B,TH400;PA
CTR;78;305;145;2B,TH350;BU
CTS;75;400;175;4B,TH400;PA
CTU;70;350;370;4B,4S,TI;CO
CTU;75;400;175;4B,TH400;CH,MC,PA
CTU;76;400;175;4B,TH400;CH,MC,PA
CTV;70;350;370;4B,4S(HD);CO
CTW;70;402;350;4B,TH400;CA,CH,NO
CTW;76;400;175;4B,TH400;PA
CTW;78;305;145;2B,TH350;BU
CTX;70;402;350;4B,MT;CA,CH,NO
CTX;75;400;175;4B,TH400;CH,MC
CTX;76;400;175;4B,TH400;CH,MC
CTX;78;305;145;2B,TH350;BU
CTY;70;402;375;4B,TH400;CA,CH,NO
CTY;76;400;175;4B,TH400;PA
CTZ;70;402;350;4B,HDC,MT;CH,NO
CTZ;76;400;175;4B,TH400;PA
CU;58;283;270;2x4B,HLC,MT;CO
CU;59;283;270;2x4B,HLC,MT;CO
CU;60;283;270;2x4B,HLC,MT;CO
CU;61;283;270;2x4B,HLC,MT;CO
CUA;75;350;165;4B,4S;CO
CUA;80;305;155;4B,TH350;PA
CUA;88;350;230;AT,TPI;CA,FB
CUB;75;350;165;4B,4S;CO
CUB;77;350;170;4B,TH350;PA
CUB;80;305;155;4B,TH350;PA
CUC;77;350;170;4B,TH350;PA
CUC;80;305;145;4B,AT;PA
CUD;75;350;205;4B,4S;CO
CUD;77;350;170;4B,TH350;PA
CUD;80;305;145;4B,TH350;PA
CUF;76;350;170;4B,TH350;CH,MC
CUF;78;350;170;4B,TH350;PA
CUF;80;305;145;4B,TH350;PA
CUH;75;350;165;4B;NO
CUJ;75;350;165;4B;CA,NO
CUL;75;350;165;4B;CA
CUM;75;350;165;4B;CA
CUM;78;350;170;4B,TH350;NO,PA
CUR;78;350;170;4B,TH350;NO,PA
CUS;75;350;165;4B;CH,MC,NO
CUS;78;350;170;4B,TH350;NO,PA
CUT;75;350;205;4B,4S;CO
CUT;78;350;185;4B,TH350;CO
CWA;73;454;245;4B,4S;CH,MC
CWA;74;454;235;4B,4S;CH
CWA;88;350;170;4B,AT,PO;PA
CWB;73;454;245;4B,TH;CH,MC
CWB;88;350;170;4B,AT,PO;PA
CWC;73;454;245;4B,4S,CE;CH,MC
CWD;73;454;245;4B,CE,TH;CH,PA
CWD;74;454;235;4B,CE,TH;CH,MC
CWI;73;454;250;4B,TH400;PA
CWJ;73;454;245;4B,CE,TH;PA
CWK;73;454;245;4B,TH;PA
CWL;73;454;245;4B,TH;PA
CWM;73;454;275;4B,4S;CO
CWM;74;454;270;4B,4S;CO
CWR;73;454;275;4B,TH400;CO
CWR;74;454;270;4B,TH400;CO
CWS;73;454;275;4B,CE,TH400;CO
CWS;74;454;270;4B,CE,TH400;CO
CWT;73;454;275;4B,4S,CE;CO
CWT;74;454;270;4B,4S,CE;CO
CWU;74;454;235;4B,PO,TH;PA
CWW;74;454;235;4B,CE,PO,TH;PA
CWX;74;454;235;4B,TH;CH,MC
CWY;74;454;235;4B,CE,TH;PA
CXA;74;454;235;4B,CE,TH;PA
CXB;74;454;235;4B,CE,TH;PA
CXC;74;454;235;4B,CE,TH;PA
CXK;75;454;215;4B;MR
CXK;75;454;215;4B,TH;PA
CXL;75;454;215;4B,TH400;PA
CXM;74;454;235;4B,4S;CH
CXR;74;454;235;4B,TH;CH,EC,MC
CXS;74;454;235;4B,TH;CH,EC,MC
CXT;74;454;235;4B,TH;PA
CXU;74;454;235;4B,TH;PA
CXW;75;454;215;4B,TH400;CH,EC,MC
CXX;75;454;215;4B,TH400;PA
CXX;76;454;215;4B;MR
CXX;76;454;225;4B,TH400;PA
CXY;75;454;215;4B,TH400;PA
CXY;76;454;225;4B,MT;PA
CY;58;283;250;4S,FI;PA
CZ;58;283;315;4S,FI,HLC;PA
CZA;75;262;110;2B,MT;MO
CZB;75;262;110;2B,AT;MO
CZC;75;262;110;2B,MT;MO
CZD;75;262;110;2B,AT;MO
CZE;75;262;110;2B,MT;MO
CZF;75;262;110;2B,MT;NO
CZG;75;262;110;2B,MT;MO
CZH;75;262;110;2B,MT;NO
CZJ;75;262;110;2B,MT;NO
CZK;75;262;110;2B,TH350;NO
CZK;77;305;145;2B;CA
CZL;75;262;110;2B,MT;NO
CZL;77;305;145;2B,MT;CA
CZM;75;262;110;2B,TH350;NO
CZS;82;305;145;4B;FB,MC
CZT;75;262;110;2B,MT;MO
CZT;76;262;110;2B,MT;MO
CZT;82;305;145;4B;FB
CZU;70;454;390;4B,4S;CO
CZU;75;262;110;2B,MT;MO
CZU;76;262;110;2B,MT;MO
CZU;82;305;145;4B;FB
CZW;75;262;110;2B;MO
CZX;70;400;265;2B,MT;CH,EC,MC
CZX;82;305;145;4B;FB
D;56;265;205;4B,MT;TR;34-35-3700
D;58;283;170;2B,PG;PA
D;59;283;170;2B,PG;PA
D;60;283;170;2B,PG;PA
D;61;283;170;2B,PG;PA
D;62;283;170;2B,PG;PA
D;63;283;195;2B,PG;PA
D;64;283;195;2B,PG;PA
D34;87;305;190;TPI;FB
D3M;86;350;160;4B,MT;TR
D3N;86;350;160;4B,MT;TR
D3P;86;350;160;4B,MT;TR
D3R;86;350;160;4B,MT;TR
D3S;86;350;160;4B,MT;TR
D3T;86;350;160;4B,MT;TR
D3U;86;350;160;4B,MT;TR
D3W;86;350;160;4B,MT;TR
D3X;86;350;160;4B,MT;TR
D3Y;87;305;190;AT,TPI;CA,FB
D3Z;87;350;170;4B,AT,PO;PA
D3Z;88;350;170;4B,AT,PO;PA
D4A;86;305;165;4B,AT;CA,CH
D4A;86;305;150;4B,AT;PA
D4B;86;305;165;4B,AT;CA,CH
D4B;86;305;150;4B,AT;PA
D4C;86;305;190;AT,TPI;CA,FB
D4K;86;305;190;AT,TPI;CA,FB
D4N;87;350;170;4B,AT,PO;PA
D4N;88;350;170;4B,AT,PO;PA
D4W;86;305;190;AT,TPI;CA,FB
D4W;87;305;190;AT,TPI;FB
D5A;81;350;190;4B,AT;CA
D5A;86;454;240;4B,MT;TR
D5B;81;350;190;4B,AT;CA
D5B;83;305;150;4B,AT;CA,MA,MC,PA
D5B;86;454;240;4B,MT;TR
